State_Name,Management,Total_Schools,Water_Source,School_Count
Tamil Nadu,Private,11890,Well,122
Telangana,Private,12474,Well,66
Tripura,Private,485,Well,13
Uttar Pradesh,Private,104508,Well,133
Uttarakhand,Private,5352,Well,29
West Bengal,Private,7176,Well,74
India,Government,1013322,UnprotectedWell,2587
Andaman and Nicobar Islands,Government,335,UnprotectedWell,10
Andhra Pradesh,Government,44886,UnprotectedWell,21
Arunachal Pradesh,Government,2558,UnprotectedWell,20
Assam,Government,44741,UnprotectedWell,399
Bihar,Government,76320,UnprotectedWell,2
Chandigarh,Government,118,UnprotectedWell,0
Chhattisgarh,Government,48827,UnprotectedWell,57
Dadra and Nagar Haveli and Daman and Diu,Government,361,UnprotectedWell,0
Delhi,Government,2681,UnprotectedWell,0
Goa,Government,780,UnprotectedWell,5
Gujarat,Government,34638,UnprotectedWell,23
Haryana,Government,14338,UnprotectedWell,2
Himachal Pradesh,Government,14725,UnprotectedWell,1
Jammu and Kashmir,Government,18785,UnprotectedWell,192
Jharkhand,Government,35788,UnprotectedWell,109
Karnataka,Government,48844,UnprotectedWell,42
Kerala,Government,4808,UnprotectedWell,17
Ladakh,Government,812,UnprotectedWell,0
Lakshadweep,Government,36,UnprotectedWell,0
Madhya Pradesh,Government,92250,UnprotectedWell,355
Maharashtra,Government,64884,UnprotectedWell,209
Manipur,Government,2952,UnprotectedWell,1612
Meghalaya,Government,7789,UnprotectedWell,364
Mizoram,Government,2617,UnprotectedWell,13
Nagaland,Government,1936,UnprotectedWell,29
Odisha,Government,48625,UnprotectedWell,44
Puducherry,Government,419,UnprotectedWell,0
Punjab,Government,19243,UnprotectedWell,1
Rajasthan,Government,70155,UnprotectedWell,227
Sikkim,Government,857,UnprotectedWell,3
Tamil Nadu,Government,37626,UnprotectedWell,8
Telangana,Government,30057,UnprotectedWell,15
Tripura,Government,4187,UnprotectedWell,170
Uttar Pradesh,Government,137172,UnprotectedWell,12
Uttarakhand,Government,16018,UnprotectedWell,6
West Bengal,Government,82154,UnprotectedWell,184
India,Private,339583,UnprotectedWell,261
Andaman and Nicobar Islands,Private,71,UnprotectedWell,0
Andhra Pradesh,Private,15473,UnprotectedWell,0
Arunachal Pradesh,Private,571,UnprotectedWell,2
Assam,Private,6480,UnprotectedWell,34
Bihar,Private,11274,UnprotectedWell,2
Chandigarh,Private,82,UnprotectedWell,0
Chhattisgarh,Private,7382,UnprotectedWell,2
Dadra and Nagar Haveli and Daman and Diu,Private,63,UnprotectedWell,0
Delhi,Private,2637,UnprotectedWell,0
Goa,Private,141,UnprotectedWell,0
Gujarat,Private,13190,UnprotectedWell,13
Haryana,Private,8499,UnprotectedWell,1
Himachal Pradesh,Private,2603,UnprotectedWell,0
Jammu and Kashmir,Private,5359,UnprotectedWell,5
Jharkhand,Private,1707,UnprotectedWell,0
Karnataka,Private,19105,UnprotectedWell,8
Kerala,Private,3018,UnprotectedWell,4
Ladakh,Private,111,UnprotectedWell,0
Lakshadweep,Private,0,UnprotectedWell,0
Madhya Pradesh,Private,28212,UnprotectedWell,14
Maharashtra,Private,18746,UnprotectedWell,10
Manipur,Private,1030,UnprotectedWell,6
Meghalaya,Private,2135,UnprotectedWell,72
Mizoram,Private,1068,UnprotectedWell,0
Nagaland,Private,814,UnprotectedWell,6
Odisha,Private,6107,UnprotectedWell,4
Puducherry,Private,311,UnprotectedWell,0
Punjab,Private,7589,UnprotectedWell,1
Rajasthan,Private,33548,UnprotectedWell,30
Sikkim,Private,372,UnprotectedWell,0
Tamil Nadu,Private,11890,UnprotectedWell,0
Telangana,Private,12474,UnprotectedWell,2
Tripura,Private,485,UnprotectedWell,1
Uttar Pradesh,Private,104508,UnprotectedWell,10
Uttarakhand,Private,5352,UnprotectedWell,1
West Bengal,Private,7176,UnprotectedWell,33
