Management_Detailed,Management_Group,School_Category,Gender_Type,Geography,Total_Schools,Electricity,Drinking Water,Toilets (All),Toilets (Boys),Toilets (Girls),Handwash,Medical Checkup,Ramps,Internet,Computers
Kendriya Vidyalaya,Government,Secondary,Co.Educational,Rural,482,482,482,482,482,482,482,462,441,482,482
Railway School,Other,Secondary,Boys,Rural,1,1,1,1,1,0,1,0,1,1,1
Railway School,Other,Secondary,Girls,Rural,1,1,1,1,0,1,1,0,1,0,1
Railway School,Other,Secondary,Co.Educational,Rural,10,10,10,10,9,10,10,7,8,10,10
Central Tibetan School,Other,Secondary,Co.Educational,Rural,7,7,7,7,7,7,7,5,6,7,7
Madrasa Private Unaided (Recognized),Govt Aided,Secondary,Boys,Rural,43,40,43,42,42,0,42,18,19,29,18
Madrasa Private Unaided (Recognized),Govt Aided,Secondary,Girls,Rural,102,81,101,95,0,95,92,44,48,57,48
Madrasa Private Unaided (Recognized),Govt Aided,Secondary,Co.Educational,Rural,1723,1318,1718,1627,1579,1583,1589,615,758,891,714
Madarsa Unrecognized,Other,Secondary,Boys,Rural,8,7,8,8,8,0,8,2,2,2,5
Madarsa Unrecognized,Other,Secondary,Co.Educational,Rural,34,29,34,32,32,28,32,10,13,20,6
Madrasa Aided (Recognized),Govt Aided,Secondary,Boys,Rural,4,4,4,4,4,0,4,3,2,4,4
Madrasa Aided (Recognized),Govt Aided,Secondary,Girls,Rural,22,22,22,22,0,22,21,14,18,14,19
Madrasa Aided (Recognized),Govt Aided,Secondary,Co.Educational,Rural,617,597,617,605,604,604,609,393,512,420,542
Other Central Govt./PSU Schools,Government,Secondary,Co.Educational,Rural,45,45,45,45,43,45,44,33,34,41,45
Veda Schools/Gurukuls/Pathashalas(Aided/Unaided),Govt Aided,Secondary,Girls,Rural,2,2,2,2,0,2,2,1,1,2,2
Veda Schools/Gurukuls/Pathashalas(Aided/Unaided),Govt Aided,Secondary,Co.Educational,Rural,4,4,4,4,4,3,4,3,2,4,3
Sainik School,Other,Middle,Co.Educational,Rural,1,1,1,1,1,1,1,1,1,1,1
Madrasa Aided (Recognized),Govt Aided,Middle,Girls,Rural,32,32,32,32,0,32,30,17,23,8,16
Local Body,Government,Secondary,Boys,Rural,33,32,33,33,33,0,33,33,33,25,32
Partially Govt. Aided,Government,Secondary,Girls,Rural,2,2,2,2,0,2,2,2,2,1,2
Jawahar Navodaya Vidyalaya,Government,Secondary,Co.Educational,Rural,521,521,521,521,521,521,521,512,490,520,521
Sainik School,Other,Secondary,Boys,Rural,1,1,1,1,1,0,1,1,1,1,1
Sainik School,Other,Secondary,Co.Educational,Rural,25,24,25,25,25,24,25,21,11,25,24
Madarsa Unrecognized,Other,Secondary,Girls,Rural,11,8,11,11,0,11,11,5,2,4,8
Veda Schools/Gurukuls/Pathashalas(Aided/Unaided),Govt Aided,Secondary,Boys,Rural,1,1,1,1,1,0,1,1,1,1,1
Ministry of Labour,Other,Secondary,Co.Educational,Rural,18,17,18,18,18,18,17,17,17,16,16
Department of Education,Government,Foundational and Preparatory,Boys,Urban,306,304,306,294,294,0,298,255,277,127,153
Department of Education,Government,Foundational and Preparatory,Girls,Urban,475,468,474,462,0,462,470,383,428,202,224
Department of Education,Government,Foundational and Preparatory,Co.Educational,Urban,29052,27771,28778,28130,26876,27524,27919,22805,24704,14163,12874
Tribal Welfare Department,Government,Foundational and Preparatory,Boys,Urban,72,68,72,70,70,0,69,64,59,21,26
Tribal Welfare Department,Government,Foundational and Preparatory,Girls,Urban,49,49,49,48,0,48,48,43,44,17,23
Tribal Welfare Department,Government,Foundational and Preparatory,Co.Educational,Urban,547,444,530,506,441,487,494,455,479,257,305
Local Body,Government,Foundational and Preparatory,Boys,Urban,490,482,490,486,486,0,489,484,478,463,457
Local Body,Government,Foundational and Preparatory,Girls,Urban,503,501,503,500,0,500,502,492,496,462,458
Local Body,Government,Foundational and Preparatory,Co.Educational,Urban,10704,10011,10665,10394,9559,10272,10403,9437,8973,7500,6824
Government Aided,Govt Aided,Foundational and Preparatory,Boys,Urban,72,71,72,72,72,0,71,61,57,55,45
Government Aided,Govt Aided,Foundational and Preparatory,Girls,Urban,185,184,184,184,0,184,182,153,142,157,143
Government Aided,Govt Aided,Foundational and Preparatory,Co.Educational,Urban,5519,5345,5479,5424,5341,5386,5391,4865,4600,4085,3476
Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Boys,Urban,62,61,62,60,60,0,62,40,42,53,50
Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Girls,Urban,142,139,142,139,0,139,141,95,97,122,120
Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Co.Educational,Urban,24482,23508,24309,23727,23671,23518,23793,13977,14776,18232,17090
Other State Govt. Managed,Government,Foundational and Preparatory,Boys,Urban,1,1,1,1,1,0,1,0,0,0,0
Other State Govt. Managed,Government,Foundational and Preparatory,Girls,Urban,1,1,1,1,0,1,1,1,1,0,0
Other State Govt. Managed,Government,Foundational and Preparatory,Co.Educational,Urban,33,31,33,33,29,33,33,25,25,24,24
Partially Govt. Aided,Government,Foundational and Preparatory,Co.Educational,Urban,11,11,11,11,11,11,11,9,11,8,7
Unrecognized,Other,Foundational and Preparatory,Boys,Urban,3,3,3,3,3,0,3,1,1,1,2
Unrecognized,Other,Foundational and Preparatory,Girls,Urban,2,2,2,2,0,2,2,1,2,1,0
Unrecognized,Other,Foundational and Preparatory,Co.Educational,Urban,1374,1343,1369,1362,1355,1357,1322,561,499,909,906
Social Welfare Department,Government,Foundational and Preparatory,Boys,Urban,10,10,10,10,10,0,10,6,10,6,6
Social Welfare Department,Government,Foundational and Preparatory,Girls,Urban,6,6,6,6,0,6,6,3,6,4,3
Social Welfare Department,Government,Foundational and Preparatory,Co.Educational,Urban,138,123,138,134,126,129,129,90,86,70,66
Sainik School,Other,Foundational and Preparatory,Co.Educational,Urban,5,5,5,5,5,5,5,5,2,5,5
Railway School,Other,Foundational and Preparatory,Co.Educational,Urban,4,4,4,4,4,3,4,3,3,1,1
Central Tibetan School,Other,Foundational and Preparatory,Co.Educational,Urban,1,1,1,1,1,1,1,1,1,1,1
Madrasa Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Boys,Urban,31,28,31,27,27,0,29,14,13,18,6
Madrasa Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Girls,Urban,36,32,36,34,0,34,35,17,12,14,7
Madrasa Private Unaided (Recognized),Govt Aided,Foundational and Preparatory,Co.Educational,Urban,3064,2681,3038,2775,2707,2658,2854,1066,1058,1213,716
Madarsa Unrecognized,Other,Foundational and Preparatory,Boys,Urban,16,15,16,16,16,0,16,10,8,6,5
Madarsa Unrecognized,Other,Foundational and Preparatory,Girls,Urban,7,7,7,7,0,7,6,4,5,3,3
Madarsa Unrecognized,Other,Foundational and Preparatory,Co.Educational,Urban,53,51,53,53,48,50,49,32,31,34,28
Madrasa Aided (Recognized),Govt Aided,Foundational and Preparatory,Co.Educational,Urban,4,4,4,3,3,3,4,2,2,2,3
Other Central Govt./PSU Schools,Government,Foundational and Preparatory,Boys,Urban,1,1,1,1,1,0,0,0,1,0,1
Other Central Govt./PSU Schools,Government,Foundational and Preparatory,Girls,Urban,1,1,1,1,0,1,1,0,1,0,1
Other Central Govt./PSU Schools,Government,Foundational and Preparatory,Co.Educational,Urban,4,4,4,4,4,4,4,1,0,3,3
Department of Education,Government,Middle,Boys,Urban,342,334,336,333,333,0,335,293,298,153,161
Department of Education,Government,Middle,Girls,Urban,903,887,899,890,0,890,880,728,727,519,534
Department of Education,Government,Middle,Co.Educational,Urban,14082,13706,13981,13723,13119,13504,13572,11341,12403,7613,7417
Tribal Welfare Department,Government,Middle,Boys,Urban,27,27,27,26,26,0,26,22,26,9,15
Tribal Welfare Department,Government,Middle,Girls,Urban,45,45,45,44,0,44,45,38,38,16,26
Tribal Welfare Department,Government,Middle,Co.Educational,Urban,248,233,247,236,223,231,239,202,221,111,148
Local Body,Government,Middle,Boys,Urban,385,376,384,375,375,0,380,361,368,363,369
Local Body,Government,Middle,Girls,Urban,462,453,460,454,0,454,457,420,437,439,435
Local Body,Government,Middle,Co.Educational,Urban,5662,5571,5651,5572,5449,5531,5621,5382,5370,4837,5183
Government Aided,Govt Aided,Middle,Boys,Urban,74,72,74,74,74,0,74,54,47,62,58
Government Aided,Govt Aided,Middle,Girls,Urban,203,194,202,198,0,198,199,137,124,137,118
Government Aided,Govt Aided,Middle,Co.Educational,Urban,6669,6460,6647,6596,6544,6562,6489,5577,5150,4895,4770
Private Unaided (Recognized),Govt Aided,Middle,Boys,Urban,110,108,110,105,105,0,107,72,69,91,96
Private Unaided (Recognized),Govt Aided,Middle,Girls,Urban,311,303,310,302,0,302,299,178,160,249,243
Private Unaided (Recognized),Govt Aided,Middle,Co.Educational,Urban,49885,48582,49702,48440,48341,48168,48632,28279,29934,41259,39664
Other State Govt. Managed,Government,Middle,Boys,Urban,6,6,6,6,6,0,6,6,3,4,4
Other State Govt. Managed,Government,Middle,Girls,Urban,9,9,9,9,0,9,9,8,9,6,8
Other State Govt. Managed,Government,Middle,Co.Educational,Urban,42,42,42,42,42,42,41,29,31,31,30
Partially Govt. Aided,Government,Middle,Co.Educational,Urban,19,19,19,19,19,18,19,14,16,16,14
Unrecognized,Other,Middle,Boys,Urban,6,6,6,6,6,0,6,3,4,4,3
Unrecognized,Other,Middle,Girls,Urban,13,13,13,13,0,13,12,5,5,9,7
Unrecognized,Other,Middle,Co.Educational,Urban,2641,2596,2634,2631,2625,2621,2591,1099,1146,2182,2077
Social Welfare Department,Government,Middle,Boys,Urban,10,10,10,10,10,0,10,6,8,8,7
Social Welfare Department,Government,Middle,Girls,Urban,2,2,2,2,0,2,2,0,2,1,1
Social Welfare Department,Government,Middle,Co.Educational,Urban,70,70,70,70,69,67,69,59,55,61,61
Ministry of Labour,Other,Middle,Boys,Urban,3,3,3,3,3,0,3,1,1,1,3
Ministry of Labour,Other,Middle,Girls,Urban,5,5,5,5,0,5,5,2,1,1,4
Kendriya Vidyalaya,Government,Middle,Co.Educational,Urban,2,2,2,2,2,2,2,2,2,2,2
Sainik School,Other,Middle,Co.Educational,Urban,1,1,1,1,1,1,1,1,1,1,1
Madrasa Private Unaided (Recognized),Govt Aided,Middle,Boys,Urban,22,21,22,21,21,0,22,13,12,16,8
Madrasa Private Unaided (Recognized),Govt Aided,Middle,Girls,Urban,41,40,40,39,0,39,40,15,23,21,14
Madrasa Private Unaided (Recognized),Govt Aided,Middle,Co.Educational,Urban,1872,1709,1865,1749,1728,1711,1798,650,785,1057,802
Madarsa Unrecognized,Other,Middle,Boys,Urban,15,15,15,15,15,0,14,12,10,11,9
Madarsa Unrecognized,Other,Middle,Girls,Urban,19,19,19,19,0,19,19,15,14,12,10
Madarsa Unrecognized,Other,Middle,Co.Educational,Urban,84,79,84,84,73,82,81,59,52,59,53
Madrasa Aided (Recognized),Govt Aided,Middle,Boys,Urban,2,2,2,1,1,0,2,1,0,2,1
Madrasa Aided (Recognized),Govt Aided,Middle,Co.Educational,Urban,21,21,21,20,19,19,20,10,13,13,11
Other Central Govt./PSU Schools,Government,Middle,Co.Educational,Urban,3,3,3,3,3,3,3,2,3,3,3
Department of Education,Government,Secondary,Boys,Urban,1614,1612,1614,1608,1608,0,1587,1379,1497,1516,1568
Department of Education,Government,Secondary,Girls,Urban,3852,3842,3850,3829,0,3828,3813,3231,3489,3556,3695
Department of Education,Government,Secondary,Co.Educational,Urban,10337,10273,10296,10161,9807,9868,10055,8642,9347,8985,9669
Tribal Welfare Department,Government,Secondary,Boys,Urban,107,105,107,107,107,0,104,97,81,91,98
Tribal Welfare Department,Government,Secondary,Girls,Urban,186,185,186,183,0,183,182,168,152,164,168
Tribal Welfare Department,Government,Secondary,Co.Educational,Urban,365,363,364,359,343,339,348,318,299,315,337
Local Body,Government,Secondary,Boys,Urban,71,70,71,70,70,0,69,64,64,56,66
Local Body,Government,Secondary,Girls,Urban,265,264,265,265,0,265,264,250,242,230,262
Local Body,Government,Secondary,Co.Educational,Urban,2087,2071,2083,2059,1968,2016,2068,2012,1934,1774,2023
Government Aided,Govt Aided,Secondary,Boys,Urban,668,662,665,661,661,0,661,516,553,628,604
Government Aided,Govt Aided,Secondary,Girls,Urban,1944,1929,1943,1923,0,1923,1914,1614,1501,1783,1785
Government Aided,Govt Aided,Secondary,Co.Educational,Urban,11793,11626,11762,11677,11499,11549,11511,9492,9390,10376,10609
Private Unaided (Recognized),Govt Aided,Secondary,Boys,Urban,236,234,236,232,232,0,234,153,151,212,212
Private Unaided (Recognized),Govt Aided,Secondary,Girls,Urban,1223,1209,1218,1195,0,1195,1201,762,766,1116,1084
Private Unaided (Recognized),Govt Aided,Secondary,Co.Educational,Urban,61783,61084,61673,60894,60613,60654,60888,42455,41816,58257,57577
Other State Govt. Managed,Government,Secondary,Boys,Urban,20,20,20,19,19,0,20,17,17,18,19
Other State Govt. Managed,Government,Secondary,Girls,Urban,32,32,32,32,0,32,31,21,18,31,30
Other State Govt. Managed,Government,Secondary,Co.Educational,Urban,248,240,245,244,239,239,222,187,137,171,183
Partially Govt. Aided,Government,Secondary,Girls,Urban,4,4,4,4,0,4,4,3,2,4,3
Partially Govt. Aided,Government,Secondary,Co.Educational,Urban,38,38,38,37,37,36,38,33,25,36,33
Unrecognized,Other,Secondary,Boys,Urban,2,2,2,2,2,0,2,1,2,2,2
Unrecognized,Other,Secondary,Co.Educational,Urban,302,289,302,296,291,295,283,152,119,226,237
Social Welfare Department,Government,Secondary,Boys,Urban,104,104,104,104,104,0,104,86,81,91,99
Social Welfare Department,Government,Secondary,Girls,Urban,154,154,154,153,0,153,152,132,110,138,142
Social Welfare Department,Government,Secondary,Co.Educational,Urban,118,117,117,116,110,110,111,104,76,104,104
Kendriya Vidyalaya,Government,Secondary,Co.Educational,Urban,760,760,760,760,759,760,760,741,716,760,760
Sainik School,Other,Secondary,Co.Educational,Urban,15,15,15,15,15,14,15,15,4,15,15
Railway School,Other,Secondary,Girls,Urban,1,1,1,1,0,1,1,1,1,1,1
Railway School,Other,Secondary,Co.Educational,Urban,46,46,46,46,46,46,45,38,37,43,44
Central Tibetan School,Other,Secondary,Co.Educational,Urban,6,6,6,6,6,6,6,4,5,6,6
Madrasa Private Unaided (Recognized),Govt Aided,Secondary,Boys,Urban,28,25,28,28,28,0,28,10,16,15,15
Madrasa Private Unaided (Recognized),Govt Aided,Secondary,Girls,Urban,64,56,64,62,0,62,63,24,21,41,32
Madrasa Private Unaided (Recognized),Govt Aided,Secondary,Co.Educational,Urban,722,658,721,684,661,655,687,234,325,435,364
Madarsa Unrecognized,Other,Secondary,Boys,Urban,3,3,3,3,3,0,3,0,1,3,1
Madarsa Unrecognized,Other,Secondary,Co.Educational,Urban,9,9,9,9,8,7,9,4,5,7,5
Madrasa Aided (Recognized),Govt Aided,Secondary,Boys,Urban,7,7,7,7,7,0,7,2,5,6,6
Madrasa Aided (Recognized),Govt Aided,Secondary,Girls,Urban,18,18,18,18,0,18,17,10,8,14,14
Madrasa Aided (Recognized),Govt Aided,Secondary,Co.Educational,Urban,199,190,199,194,187,186,193,83,113,127,146
